Membership No  Date Joined  Active  
    50377      2018-3-18    no    
    83671      2016-9-5     no    
    16051      2016-2-8     no    
    74466      2018-2-23    no    
    51894      2015-4-21    no    
    58271      2020-12-23   no    
    13711      2016-12-24   no    
    50520      2017-4-13    no    
    23719      2017-2-21    no    
    38703      2016-7-8     no    
    94133      2018-7-23    no    
    77498      2017-7-2     no    
    40369      2020-4-21    no    
    35909      2015-9-25    no    
    42400      2020-1-25    no    
    32155      2015-8-10    no    
