Membership No  Date Joined  Active  
    52279      2018-10-24   yes   
    16298      2019-1-16    yes   
    44512      2018-9-17    no    
    55294      2015-1-9     no    
    42142      2016-10-15   no    
    68414      2020-3-17    no    
    68333      2016-5-24    no    
    26223      2016-3-6     yes   
    94720      2015-4-4     no    
    45733      2020-10-1    no    
    71538      2018-9-5     no    
    16764      2017-12-11   no    
    29023      2018-3-17    no    
    87982      2015-11-11   yes   
    43832      2017-11-4    no    
    10273      2016-9-13    no    
    36976      2017-3-8     no    
    38213      2015-5-9     yes   
    26054      2018-11-15   yes   
    10877      2018-12-16   yes   
