Membership No  Date Joined  Active  
    44637      2018-6-22    yes   
    29251      2015-8-16    yes   
    34018      2019-2-14    yes   
    39974      2018-7-6     yes   
    65079      2020-2-6     yes   
    14486      2015-11-8    no    
    61209      2019-8-9     no    
    53073      2017-1-2     no    
    11781      2020-12-19   yes   
    76883      2020-12-7    no    
    29131      2020-1-7     no    
    51367      2015-10-12   no    
    36358      2019-10-25   no    
    11575      2017-1-10    no    
    11949      2018-2-14    yes   
    70906      2019-6-14    yes   
    46097      2015-5-19    yes   
    61633      2020-5-23    yes   
    52430      2020-3-11    no    
    29919      2016-9-2     no    
